
12월 15, 2023 08:30:26.98 NEW SESSION
12월 15, 2023 08:51:55.79 [9384:16824:1215/085155.072:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 08:51:56.623 [9384:16824:1215/085156.622:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 08:52:07.191 [9384:16824:1215/085207.189:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 08:52:07.199 [9384:16824:1215/085207.197:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 08:52:08.62 [9384:16824:1215/085208.061:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 08:52:29.982 [9384:16824:1215/085229.980:ERROR:CONSOLE(1)] "Extension server error: Operation failed: http://localhost:8080/ch2/ has no execution context", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 08:52:31.420 [9384:16824:1215/085231.419:ERROR:CONSOLE(1)] "Received error with code E_FAILED while checking if react has loaded: "Operation failed: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 08:57:33.147 [9384:16824:1215/085733.142:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 08:57:33.161 [9384:16824:1215/085733.150:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 08:57:35.160 [9384:16824:1215/085735.159:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 08:57:58.74 [9384:16824:1215/085758.073:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 08:57:58.77 [9384:16824:1215/085758.074:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 08:57:59.185 [9384:16824:1215/085759.183:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:01:50.875 [9384:16824:1215/090150.873:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:01:50.878 [9384:16824:1215/090150.874:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:01:52.732 [9384:16824:1215/090152.730:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:02:43.653 [9384:16824:1215/090243.652:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:02:43.656 [9384:16824:1215/090243.652:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:02:44.961 [9384:16824:1215/090244.960:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:03:18.817 [9384:16824:1215/090318.816:ERROR:CONSOLE(1)] "Extension server error: Operation failed: http://localhost:8080/ch2/login/login has no execution context", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:03:19.222 [9384:16824:1215/090319.221:ERROR:CONSOLE(1)] "Received error with code E_FAILED while checking if react has loaded: "Operation failed: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:04:41.436 [9384:16824:1215/090441.435:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:04:41.449 [9384:16824:1215/090441.447:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:04:41.768 [9384:16824:1215/090441.766:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:05:46.73 [9384:16824:1215/090546.072:ERROR:CONSOLE(1)] "Request Runtime.evaluate failed. {"code":-32602,"message":"uniqueContextId not found"}", source: devtools://devtools/bundled/devtools-frontend/front_end/core/protocol_client/protocol_client.js (1)
12월 15, 2023 09:05:46.77 [9384:16824:1215/090546.072:ERROR:CONSOLE(1)] "uniqueContextId not found", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:05:46.79 [9384:16824:1215/090546.072:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: uniqueContextId not found", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:05:48.445 [9384:16824:1215/090548.444:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:06:18.752 [9384:16824:1215/090618.746:ERROR:CONSOLE(1)] "Extension server error: Operation failed: http://localhost:8080/ch2/login/login;jsessionid=00E0E37CB2DB58BEF1458C95EF5138E8 has no execution context", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:06:19.355 [9384:16824:1215/090619.354:ERROR:CONSOLE(1)] "Received error with code E_FAILED while checking if react has loaded: "Operation failed: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:11:01.212 [9384:16824:1215/091101.208:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:11:01.215 [9384:16824:1215/091101.210:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:11:02.799 [9384:16824:1215/091102.797:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 09:11:07.730 [9384:16824:1215/091107.729:ERROR:CONSOLE(1)] "Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/core/sdk/sdk.js (1)
12월 15, 2023 09:11:07.743 [9384:16824:1215/091107.741:ERROR:CONSOLE(1)] "Extension server error: Inspector protocol error: Cannot find context with specified id", source: devtools://devtools/bundled/devtools-frontend/front_end/models/extensions/extensions.js (1)
12월 15, 2023 09:11:07.916 [9384:16824:1215/091107.915:ERROR:CONSOLE(1)] "Received error with code E_PROTOCOLERROR while checking if react has loaded: "Inspector protocol error: %s"", source: chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js (1)
12월 15, 2023 11:03:58.347 [9384:16824:1215/110358.339:ERROR:CONSOLE(0)] "ReferenceError: dragEvent is not defined", source:  (0)
12월 15, 2023 11:04:50.363 [9384:16824:1215/110450.362:ERROR:CONSOLE(11)] "Refused to load the stylesheet 'https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.min.css' because it violates the following Content Security Policy directive: "style-src 'unsafe-inline'". Note that 'style-src-elem' was not explicitly set, so 'style-src' is used as a fallback.
12월 15, 2023 11:04:50.365 ", source: data:text/html;charset=utf-8,%0D%0A%0D%0A%0D%0A%3C!DOCTYPE%20html%3E%0D%0A%3Chtml%20lang=%22en%22%3E%0D%0A%3Chead%3E%0D%0A%20%20%20%20%3Cmeta%20charset=%22UTF-8%22%3E%0D%0A%20%20%20%20%3Cmeta%20http-equiv=%22X-UA-Compatible%22%20content=%22IE=edge%22%3E%0D%0A%20%20%20%20%3Cmeta%20name=%22viewport%22%20content=%22width=device-width,%20initial-scale=1.0%22%3E%0D%0A%20%20%20%20%3Ctitle%3ELogin%3C/title%3E%0D%0A%20%20%20%20%3Clink%20rel=%22stylesheet%22%20href=%22https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.8.2/css/all.min.css%22%20/%3E%0D%0A%20%20%20%20%3Cstyle%3E%0D%0A%20%20%20%20%20%20%20*%20%7B%20box-sizing:border-box;%20%7D%0D%0A%20%20%20%20%20%20%20a%20%7B%20text-decoration:%20none;%20%7D%0D%0A%20%20%20%20%20%20%20%20form%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20width:400px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20height:500px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20display%20:%20flex;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20flex-direction:%20column;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20align-items:center;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20position%20:%20absolute;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20top:50%25;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20left:50%25;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20transform:%20translate(-50%25,%20-50%25)%20;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border:%201px%20solid%20rgb(89,117,196);%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border-radius:%2010px;%0D%0A%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20input%5Btype='text'%5D,%20input%5Btype='password'%5D%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20width:%20300px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20height:%2040px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border%20:%201px%20solid%20rgb(89,117,196);%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border-radius:5px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20padding:%200%2010px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20margin-bottom:%2010px;%0D%0A%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20button%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20background-color:%20rgb(89,117,196);%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20color%20:%20white;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20width:300px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20height:50px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20font-size:%2017px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border%20:%20none;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20border-radius:%205px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20margin%20:%2020px%200%2030px%200;%0D%0A%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20%23title%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20font-size%20:%2050px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20margin:%2040px%200%2030px%200;%0D%0A%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20%23msg%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20height:%2030px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20text-align:center;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20font-size:16px;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20color:red;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20margin-bottom:%2020px;%0D%0A%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%3C/style%3E%0D%0A%3C/head%3E%0D%0A%3Cbody%3E%0D%0A%20%20%20%20%3Cform%20action=%22/ch2/login/login;jsessionid=02D677E9BCAD49728AED476CF0B4119B%22%20method=%22post%22%20onsubmit=%22return%20formCheck(this);%22%3E%0D%0A%20%20%20%20%20%20%20%20%3Ch3%20id=%22title%22%3ELogin%3C/h3%3E%0D%0A%20%20%20%20%20%20%20%20%3Cdiv%20id=%22msg%22%3E%0D%0A%09%20%20%20%20%20%20%20%20%20%20%20%20%0D%0A%09%3C/div%3E%0D%0A%20%20%20%20%20%20%20%20%3Cinput%20type=%22text%22%20name=%22id%22%20value=%22%22%20placeholder=%22%EC%9D%B4%EB%A9%94%EC%9D%BC%20%EC%9E%85%EB%A0%A5%22%20autofocus%3E%0D%0A%20%20%20%20%20%20%20%20%3Cinput%20type=%22password%22%20name=%22pwd%22%20placeholder=%22%EB%B9%84%EB%B0%80%EB%B2%88%ED%98%B8%22%3E%0D%0A%20%20%20%20%20%20%20%20%3Cbutton%3E%EB%A1%9C%EA%B7%B8%EC%9D%B8%3C/button%3E%0D%0A%20%20%20%20%20%20%20%20%3Cdiv%3E%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Clabel%3E%3Cinput%20type=%22checkbox%22%20name=%22rememberId%22%20%3E%20%EC%95%84%EC%9D%B4%EB%94%94%20%EA%B8%B0%EC%96%B5%20%3C/label%3E%20%7C%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ca%20href=%22%22%3E%EB%B9%84%EB%B0%80%EB%B2%88%ED%98%B8%20%EC%B0%BE%EA%B8%B0%3C/a%3E%20%7C%20%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ca%20href=%22%22%3E%ED%9A%8C%EC%9B%90%EA%B0%80%EC%9E%85%3C/a%3E%0D%0A%20%20%20%20%20%20%20%20%3C/div%3E%0D%0A%20%20%20%20%20%20%20%20%3Cscript%3E%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20function%20formCheck(frm)%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20let%20msg%20='';%0D%0A%20%20%20%20%20%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20if(frm.id.value.length==0)%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20setMessage('id%EB%A5%BC%20%EC%9E%85%EB%A0%A5%ED%95%B4%EC%A3%BC%EC%84%B8%EC%9A%94.',%20frm.id);%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20return%20false;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20if(frm.pwd.value.length==0)%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20setMessage('password%EB%A5%BC%20%EC%9E%85%EB%A0%A5%ED%95%B4%EC%A3%BC%EC%84%B8%EC%9A%94.',%20frm.pwd);%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20return%20false;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0D%0A%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20return%20true;%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20function%20setMessage(msg,%20element)%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20document.getElementById(%22msg%22).innerHTML%20=%20%60%20$%7Bmsg%7D%60;%0D%0A%20%20%20%20%20%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20if(element)%20%7B%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20element.select();%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20%20%20%20%20%7D%0D%0A%20%20%20%20%20%20%20%20%3C/script%3E%0D%0A%20%20%20%20%3C/form%3E%0D%0A%3C/body%3E%0D%0A%3C/html%3E (11)
